WC,MoralEmotional,UniquelyMoral,UniquelyEmotional,Number,Quantitative,PositiveEmotion,NegativeEmotional,Anxious,Anger,Sad,Social,Family,Friendship,Female,Male,CognitiveProcesses,Insight,Causation,Discrepancy,Tentative,Certainty,Differentiation,Perceptual,See,Hear,Feel,BiologicalProcessess,Body,Health,Sexual,Ingestion,Drives,Affiliation,Achievement,Power,Reward,Risk,PastFocus,PresentFocus,FutureFocus,Relativity,Motion,Space,Time,Work,Leisure,Home,Money,Religion,Death
86,0,3.49,0,2.38,1.19,1.19,0,0,0,0,9.52,1.19,0,0,0,10.71,0,0,1.19,4.76,1.19,4.76,2.38,1.19,1.19,0,2.38,0,2.38,0,0,4.76,2.38,0,1.19,1.19,0,2.38,13.1,1.19,15.48,4.76,7.14,4.76,5.95,0,0,4.76,0,0
89,0,7.87,2.25,2.35,2.35,2.35,0,0,0,0,10.59,0,0,0,0,17.65,0,2.35,2.35,4.71,2.35,10.59,0,0,0,0,1.18,0,1.18,0,0,4.71,1.18,0,3.53,0,0,3.53,14.12,1.18,14.12,3.53,8.24,2.35,1.18,0,2.35,1.18,0,0
59,0,11.86,1.69,3.51,1.75,1.75,0,0,0,0,7.02,0,0,0,0,15.79,1.75,0,1.75,7.02,0,5.26,3.51,0,0,3.51,8.77,3.51,5.26,0,0,7.02,0,0,7.02,0,0,3.51,12.28,0,12.28,3.51,8.77,0,7.02,0,0,1.75,0,0
109,1.83,1.83,2.75,0.93,2.8,3.74,0,0,0,0,21.5,1.87,0,0,0,11.21,0.93,0.93,2.8,3.74,0.93,2.8,2.8,0,2.8,0,0,0,0,0,0,10.28,7.48,0,0.93,1.87,0,9.35,14.95,0.93,14.02,3.74,7.48,2.8,1.87,1.87,1.87,0.93,0,0
63,0,1.59,3.17,0,1.64,3.28,0,0,0,0,21.31,0,0,0,0,6.56,1.64,0,1.64,1.64,0,1.64,3.28,0,0,1.64,0,0,0,0,0,13.11,6.56,3.28,3.28,1.64,0,0,13.11,0,8.2,0,6.56,1.64,8.2,0,0,1.64,0,0
50,0,0,4,2.04,0,2.04,0,0,0,0,16.33,4.08,0,0,0,10.2,2.04,0,4.08,2.04,4.08,0,0,0,0,0,0,0,0,0,0,14.29,6.12,6.12,2.04,2.04,0,0,16.33,4.08,10.2,2.04,2.04,6.12,0,0,0,0,0,0
63,1.59,11.11,0,3.17,3.17,0,1.59,0,1.59,0,17.46,6.35,0,0,0,9.52,1.59,3.17,0,0,3.17,1.59,1.59,0,1.59,0,0,0,0,0,0,15.87,6.35,4.76,3.17,1.59,1.59,4.76,6.35,0,7.94,3.17,3.17,1.59,1.59,4.76,4.76,0,0,0
82,1.22,1.22,6.1,2.5,5,2.5,2.5,1.25,1.25,0,13.75,0,0,0,0,16.25,3.75,1.25,0,6.25,1.25,3.75,2.5,1.25,0,0,1.25,0,1.25,0,0,8.75,3.75,1.25,1.25,2.5,1.25,0,11.25,0,21.25,5,12.5,3.75,0,2.5,0,0,0,0
77,0,3.9,2.6,3.95,0,2.63,0,0,0,0,22.37,3.95,0,11.84,0,2.63,1.32,0,0,0,1.32,0,3.95,0,3.95,0,0,0,0,0,0,3.95,0,1.32,2.63,0,0,14.47,1.32,0,17.11,3.95,6.58,7.89,5.26,2.63,0,0,0,0
87,0,3.45,0,1.16,2.33,0,0,0,0,0,18.6,2.33,0,5.81,0,11.63,6.98,0,0,1.16,2.33,1.16,4.65,1.16,3.49,0,0,0,0,0,0,8.14,5.81,0,1.16,1.16,0,13.95,6.98,0,16.28,4.65,8.14,4.65,4.65,0,0,0,0,0
100,3,7,1,0,1.02,2.04,3.06,0,1.02,0,15.31,0,0,4.08,0,10.2,2.04,0,1.02,4.08,0,6.12,1.02,0,1.02,0,1.02,0,1.02,0,0,8.16,2.04,0,4.08,1.02,1.02,10.2,10.2,1.02,10.2,3.06,7.14,0,4.08,2.04,0,0,1.02,0
97,1.03,7.22,6.19,0,1.05,7.37,0,0,0,0,13.68,0,0,0,0,7.37,0,2.11,2.11,2.11,1.05,1.05,0,0,0,0,2.11,0,2.11,0,0,20,6.32,3.16,13.68,2.11,0,0,13.68,4.21,12.63,3.16,4.21,5.26,7.37,4.21,0,2.11,0,0
59,0,10.17,6.78,0,1.69,5.08,1.69,0,0,0,10.17,0,0,0,0,15.25,5.08,0,0,5.08,1.69,5.08,0,0,0,0,1.69,1.69,0,0,0,13.56,3.39,3.39,5.08,3.39,1.69,3.39,10.17,0,8.47,1.69,5.08,1.69,6.78,1.69,0,1.69,0,0
69,0,5.8,1.45,5.8,1.45,1.45,0,0,0,0,2.9,0,0,0,0,4.35,0,1.45,1.45,0,0,1.45,1.45,1.45,0,0,0,0,0,0,0,5.8,0,1.45,4.35,0,0,2.9,1.45,0,18.84,4.35,8.7,5.8,0,2.9,1.45,0,0,0
86,5.81,3.49,1.16,3.49,2.33,1.16,5.81,0,3.49,0,10.47,0,0,0,0,9.3,0,1.16,2.33,2.33,0,4.65,0,0,0,0,0,0,0,0,0,11.63,1.16,1.16,5.81,1.16,2.33,0,12.79,0,9.3,1.16,5.81,2.33,8.14,2.33,0,3.49,0,0
89,3.37,5.62,7.87,0,1.15,3.45,6.9,0,4.6,0,9.2,0,0,0,0,13.79,3.45,1.15,1.15,1.15,1.15,6.9,0,0,0,0,2.3,0,1.15,1.15,0,9.2,0,0,8.05,0,1.15,1.15,13.79,1.15,14.94,1.15,12.64,0,4.6,0,0,0,0,1.15
79,3.8,5.06,6.33,1.27,0,7.59,2.53,0,2.53,0,15.19,0,0,1.27,0,8.86,1.27,2.53,1.27,1.27,0,3.8,2.53,0,1.27,1.27,1.27,0,1.27,0,0,20.25,6.33,0,8.86,0,5.06,2.53,15.19,0,12.66,0,11.39,1.27,3.8,0,0,0,0,0
56,1.79,7.14,1.79,0,0,0,3.57,1.79,0,0,19.64,0,0,0,1.79,7.14,3.57,0,1.79,0,1.79,0,5.36,1.79,1.79,1.79,0,0,0,0,0,16.07,8.93,1.79,5.36,1.79,0,14.29,10.71,0,10.71,1.79,3.57,5.36,5.36,0,0,1.79,0,0
53,1.89,5.66,5.66,0,1.89,3.77,1.89,0,1.89,0,16.98,0,0,0,0,7.55,0,1.89,1.89,0,0,3.77,0,0,0,0,0,0,0,0,0,22.64,13.21,1.89,9.43,0,1.89,3.77,15.09,0,7.55,3.77,1.89,1.89,5.66,1.89,1.89,0,0,0
67,0,2.99,2.99,0,3.08,1.54,1.54,0,0,0,4.62,0,0,0,0,13.85,1.54,6.15,1.54,0,1.54,3.08,1.54,0,1.54,0,4.62,1.54,1.54,0,0,7.69,3.08,0,4.62,0,0,1.54,12.31,0,20,1.54,10.77,7.69,0,0,0,0,0,0
87,0,2.3,6.9,0,0,3.61,2.41,0,1.2,0,13.25,1.2,0,0,0,9.64,3.61,0,1.2,1.2,0,4.82,2.41,0,2.41,0,1.2,0,0,0,0,8.43,4.82,0,2.41,0,1.2,0,15.66,1.2,10.84,2.41,6.02,2.41,3.61,2.41,0,1.2,0,0
89,1.12,5.62,4.49,0,0,3.45,2.3,0,2.3,0,5.75,0,0,0,0,11.49,4.6,2.3,1.15,1.15,0,2.3,1.15,1.15,0,0,0,0,0,0,0,11.49,4.6,0,5.75,0,1.15,3.45,18.39,0,11.49,4.6,8.05,0,3.45,0,0,0,0,0
